FID,Field1,x,y,WPreyD,Rgd,Alt
522,2490,8706000,3739610,0.2500000,28.4605007,5224.0000000
523,2491,8706500,3739610,0.2500000,29.9333000,5119.0000000
524,2492,8707000,3739610,0.2497350,42.1781998,5016.0000000
525,2493,8707500,3739610,0.2493330,31.0160999,4934.0000000
526,2494,8708000,3739610,0.2488590,37.9342003,4966.0000000
527,2495,8708500,3739610,0.2482990,13.7112999,5058.0000000
528,2496,8709000,3739610,0.2475780,33.1361008,4934.0000000
529,2497,8709500,3739610,0.2467610,40.3609009,4872.0000000
530,2498,8710000,3739610,0.2458990,52.3354988,4680.0000000
531,2499,8710500,3739610,0.2449820,24.8796997,4613.0000000
532,2500,8711000,3739610,0.2440680,63.9062004,4519.0000000
533,2501,8711500,3739610,0.2430980,32.0155983,4371.0000000
534,2502,8712000,3739610,0.2421460,38.8973007,4196.0000000
535,2503,8712500,3739610,0.2412130,24.2280998,4030.0000000
536,2504,8713000,3739610,0.2402160,43.6004982,4255.0000000
537,2505,8713500,3739610,0.2392790,38.7426987,4266.0000000
538,2506,8714000,3739610,0.2383020,51.5169983,4596.0000000
539,2507,8714500,3739610,0.2374260,92.5149002,4712.0000000
540,2508,8715000,3739610,0.2364920,88.8256989,4464.0000000
541,2509,8715500,3739610,0.2355560,27.6224995,4184.0000000
542,2510,8716000,3739610,0.2346430,35.5387001,4387.0000000
552,2658,8684500,3740110,0.2500000,17.8605995,5371.0000000
553,2659,8685000,3740110,0.2500000,97.2007980,5167.0000000
554,2660,8685500,3740110,0.2500000,76.5309982,5079.0000000
555,2661,8686000,3740110,0.2500000,43.8177986,4803.0000000
556,2662,8686500,3740110,0.2500000,29.7320995,4693.0000000
557,2663,8687000,3740110,0.2500000,19.6977005,4576.0000000
558,2664,8687500,3740110,0.2500000,34.5542984,4453.0000000
559,2665,8688000,3740110,0.2500000,30.5941010,4464.0000000
560,2666,8688500,3740110,0.2500000,41.0731010,4494.0000000
561,2667,8689000,3740110,0.2500000,80.3740997,4759.0000000
562,2668,8689500,3740110,0.2500000,86.9540024,4642.0000000
563,2669,8690000,3740110,0.2500000,75.0400009,4304.0000000
564,2670,8690500,3740110,0.2500000,53.8516006,4048.0000000
565,2671,8691000,3740110,0.2500000,36.9729996,3635.0000000
566,2672,8691500,3740110,0.2500000,14.5257998,3718.0000000
567,2673,8692000,3740110,0.2500000,30.6594009,3803.0000000
568,2674,8692500,3740110,0.2500000,50.9804001,3994.0000000
569,2675,8693000,3740110,0.2500000,25.1196995,4115.0000000
570,2676,8693500,3740110,0.2500000,23.7696991,4217.0000000
571,2677,8694000,3740110,0.2500000,85.5921021,4553.0000000
572,2678,8694500,3740110,0.2500000,39.3954010,4862.0000000
573,2679,8695000,3740110,0.2500000,61.2209015,5034.0000000
