,sno,x,y,villdist,rugged,WP.numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity,Z.LargeLSDensity,Z.rugged,Z.SmallLSDensity,Z.villdist,Z.WPDensity
151,370,8681250,3766360,8588.19,10.09,169,0.29,0,0,0,0,-0.196790175,-1.462220151,-0.232904202,-0.432442642,0.271415828
152,371,8684250,3766360,6013.56,23.79,169,0.29,0,0,0,0,-0.196790175,-0.734594503,-0.232904202,-0.737217685,0.271415828
153,372,8687250,3766360,3980.47,33.55,169,0.29,90,0,22.21,0,0.05069817,-0.216227617,-0.232904202,-0.977887254,0.271415828
154,373,8690250,3766360,1056.43,16.44,169,0.29,90,0,32.69,0,0.167477902,-1.124963007,-0.232904202,-1.324024142,0.271415828
155,374,8693250,3766360,2094.75,29.63,940,0.58,30,1,15.57,0.52,-0.023292042,-0.424424153,-0.227473256,-1.201111715,1.535766044
156,375,8696250,3766360,3166.53,17.12,940,0.58,30,1,6.73,0.22,-0.121797084,-1.088847282,-0.230606494,-1.074238418,1.535766044
157,376,8699250,3766360,4724.74,28.17,940,0.58,219,200,123.34,112.64,1.1776003,-0.501966741,0.943522122,-0.889783363,1.535766044
158,377,8702250,3766360,3518.93,22.76,940,0.58,219,200,198.39,181.18,2.013890272,-0.789299205,1.6593625,-1.032522628,1.535766044
159,378,8705250,3766360,4256.45,23.25,940,0.58,0,0,0,0,-0.196790175,-0.763274638,-0.232904202,-0.945217777,1.535766044
160,379,8708250,3766360,6469.29,34.4,940,0.58,0,0,0,0,-0.196790175,-0.17108296,-0.232904202,-0.683270077,1.535766044
161,380,8711250,3766360,3942.66,63.41,940,0.58,0,0,0,0,-0.196790175,1.369677628,-0.232904202,-0.98236306,1.535766044
162,381,8714250,3766360,2001.57,43.36,940,0.58,0,0,0,0,-0.196790175,0.304794836,-0.232904202,-1.212142014,1.535766044
163,382,8717250,3766360,3235.42,32.38,117,0.23,387,354,13,11.89,-0.05192982,-0.27836791,-0.108723547,-1.066083479,0.009826128
164,383,8720250,3766360,5910.13,45.22,117,0.23,387,354,16,14.64,-0.018500508,0.403581968,-0.080002201,-0.74946134,0.009826128
165,400,8666250,3769360,16916.27,6.8,15,0.01,0,0,0,0,-0.196790175,-1.636956529,-0.232904202,0.553404233,-0.949336105
