"","FID","Field1","WPreyD","Rgd","Alt","StdAlt","StdRgd","StdWPreyD","D.0"
"16203",19809,28735,0.01,25.6905003,4411,-0.718631053530819,-0.713853756282274,-1.00158632232148,2.3919644967123e-05
"16204",19810,28736,0.01,40.6447983,4589,-0.368890406445544,-0.0109675462895027,-1.00158632232148,2.3919644967123e-05
"16205",19811,28737,0.01,48.2389984,4880,0.202876606486003,0.345977228130248,-1.00158632232148,2.3919644967123e-05
"16206",19812,28738,0.01,36.1109009,5105,0.644964503082559,-0.224071094178015,-1.00158632232148,2.3919644967123e-05
"16207",19813,28739,0.01,48.3321991,5406,1.23637986697395,0.350357874202144,-1.00158632232148,2.3919644967123e-05
"16208",19815,28741,0.0114241,59.8079987,5467,1.35623480782902,0.889746703251863,-0.99497870421713,2.40092431024967e-05
"16209",19816,28742,0.0124762,50.5866013,5265,0.959338118440111,0.456319933949607,-0.990097112329207,2.4075652120143e-05
"16210",19817,28743,0.0138095,90.7633972,5246,0.922006251616401,2.34472123502065,-0.983910793097036,2.4160074559884e-05
"16211",19818,28744,0.0151757,39,5194,0.819834826625197,-0.0882768284296307,-0.97757182262153,2.42468872628862e-05
"16212",19819,28745,0.0167093,30.3808994,4920,0.281470010325391,-0.493394270537606,-0.970456140348629,2.43447087621239e-05
"16213",19820,28746,0.0182692,27.3495998,4711,-0.129180524735411,-0.635872285031941,-0.96321842987817,2.44446126907251e-05
"16214",19821,28747,0.0199038,46.5724983,4559,-0.427835459325085,0.267647911753005,-0.955634122207797,2.45497407134185e-05
"16215",19822,28748,0.0214423,25.8649998,4360,-0.818837643426039,-0.705651880660922,-0.948495704643337,2.46491011353608e-05
"16216",19823,28749,0.0229808,26.4953003,4274,-0.987813461680723,-0.6760263155156,-0.941357287078876,2.47488636997763e-05
"16217",19824,28750,0.0246154,6.6332502,4133,-1.26485521021456,-1.60958809939041,-0.933772979408504,2.48553002032948e-05
"16218",19825,28751,0.02625,53.7494011,4145,-1.24127718906275,0.604978758615793,-0.926188671738131,2.49621944542647e-05
"16219",19826,28752,0.0277885,12.9615002,4143,-1.24520685925472,-1.31214587519595,-0.919050254173671,2.50632242045392e-05
"16220",19827,28753,0.0293891,17.9165001,4115,-1.30022224194229,-1.07924954664709,-0.911623701587596,2.51687659313861e-05
"16221",19828,28754,0.0309032,8.3066196,4139,-1.25306619963866,-1.53093591020147,-0.904598496495396,2.52690129761442e-05
"16222",19829,28755,0.0323794,5.1961498,4123,-1.28450356117441,-1.67713510517665,-0.897749141923633,2.53671351036487e-05
"16223",19830,28756,0.0338264,43.9886017,4161,-1.20983982752699,0.14619886157444,-0.891035271130149,2.54636861027903e-05
"16224",19831,28757,0.0350804,42.2019005,4391,-0.757927755450513,0.0622198185690421,-0.885216892432825,2.55476563699161e-05
"16225",19832,28758,0.0363344,62.9603004,4615,-0.317804693949942,1.03791209320643,-0.8793985137355,2.56319035414042e-05
"16226",19833,28759,0.0372204,37.5633011,4835,0.114459027166692,-0.155804962797542,-0.875287601832925,2.5691594893398e-05
"16227",19834,28760,0.0379872,49.4065018,4988,0.41507879685235,0.400852558284807,-0.871729760696475,2.57433677375435e-05
"16228",19835,28761,0.038381,75.7957993,5170,0.772678784321565,1.64120989930788,-0.869902585631876,2.57699968828542e-05
"16229",19836,28762,0.0385714,59.3042984,5365,1.15582162803858,0.866071637070942,-0.86901915715981,2.57828817959426e-05
"16230",19837,28763,0.0387619,179.875,5467,1.35623480782902,6.53317038579143,-0.868135264702202,2.5795779923808e-05
"16231",19838,28764,0.0389524,48.7851982,5332,1.09098206987109,0.37164986801751,-0.867251372244594,2.58086845040826e-05
"16232",19839,28765,0.0390476,39.1408005,5430,1.28353590927759,-0.0816588828858087,-0.866809658008561,2.58151358261589e-05
"16233",19840,28766,0.0391429,45.3762016,5444,1.31104360062137,0.211419230641403,-0.866367479786987,2.58215955399943e-05
"16234",19841,28767,0.0392405,74.5117035,5323,1.07329855400722,1.58085445967911,-0.865914629897944,2.58282128299861e-05
"16235",19842,28768,0.0393354,78.7845001,5373,1.17154030880646,1.78168567276876,-0.865474307618538,2.58346486857877e-05
"16236",19845,28771,0.0396203,20.5182991,5456,1.33462162177319,-0.956959042721534,-0.864152412809233,2.58539794521667e-05
"16237",19846,28772,0.0397152,25,5387,1.19904800015024,-0.74630884971868,-0.863712090529826,2.5860421728477e-05
"16238",19847,28773,0.0398101,26.5895004,5315,1.05757987323935,-0.671598695357841,-0.86327176825042,2.58668656100691e-05
"16239",19848,28774,0.0399051,40.7308006,5249,0.927900756904356,-0.00692524148203772,-0.862830981985471,2.5873317890063e-05
"16240",19849,28775,0.0399054,22.9564991,5234,0.898428230464585,-0.842358065985323,-0.862829590028845,2.58733382682331e-05
"16241",19850,28776,0.04,34.4238014,5192,0.815905156433228,-0.303368629470925,-0.862390659706064,2.58797649851115e-05
"16242",19851,28777,0.04,25.5342999,5239,0.908252405944509,-0.721195532349285,-0.862390659706064,2.58797649851115e-05
"16243",19852,28778,0.04,43.174099,5489,1.39946117994068,0.107915371715412,-0.862390659706064,2.58797649851115e-05
"16244",19854,28780,0.04,46.5509987,5314,1.05561503814336,0.266637381378368,-0.862390659706064,2.58797649851115e-05
"16245",19855,28781,0.04,37.3497009,5012,0.462234839155983,-0.165844660751381,-0.862390659706064,2.58797649851115e-05
"16246",19856,28782,0.04,47.612999,4787,0.0201469425594261,0.316553824522553,-0.862390659706064,2.58797649851115e-05
"16247",19857,28783,0.04,38.7039986,4574,-0.398362932885314,-0.102189571254373,-0.862390659706064,2.58797649851115e-05
"16248",19858,28784,0.0399054,70.7248001,4772,-0.00932558388034432,1.40286133834137,-0.862829590028845,2.58733382682331e-05
"16249",19859,28785,0.0399054,44.3170013,4764,-0.0250442646482219,0.161634393901477,-0.862829590028845,2.58733382682331e-05
"16250",19860,28786,0.04,35.7770996,4860,0.163579904566309,-0.239760518760008,-0.862390659706064,2.58797649851115e-05
"16251",19861,28787,0.04,32.8480988,4874,0.191087595910095,-0.377430255672954,-0.862390659706064,2.58797649851115e-05
"16252",19862,28788,0.04,91.1043015,4807,0.05944364447912,2.36074451684887,-0.862390659706064,2.58797649851115e-05
"16253",19863,28789,0.04,51.4197998,4754,-0.0446926156080689,0.495482169170322,-0.862390659706064,2.58797649851115e-05
"16254",19864,28790,0.0399054,44.8218994,4453,-0.636107979499462,0.185365759422048,-0.862829590028845,2.58733382682331e-05
"16255",19865,28791,0.0399054,19.2094002,4153,-1.22555850829487,-1.01848028478082,-0.862829590028845,2.58733382682331e-05
"16256",19866,28792,0.0399054,60.1747017,4447,-0.64789699007537,0.906982582987775,-0.862829590028845,2.58733382682331e-05
"16257",19867,28793,0.0399054,66.0681,4799,0.0437249637112425,1.18398578267424,-0.862829590028845,2.58733382682331e-05
"16258",19868,28794,0.04,40.8900986,5221,0.872885374216784,0.00056212886991248,-0.862390659706064,2.58797649851115e-05
"16259",19869,28795,0.04,14.6629,5078,0.591913955490973,-1.2321761930949,-0.862390659706064,2.58797649851115e-05
"16260",19870,28796,0.04,16.7630997,4965,0.369887589644702,-1.13346200354478,-0.862390659706064,2.58797649851115e-05
"16261",19871,28797,0.04,20.6154995,5063,0.562441429051202,-0.952390401601384,-0.862390659706064,2.58797649851115e-05
"16262",19872,28798,0.04,31.6702003,5256,0.941654602576248,-0.43279417930355,-0.862390659706064,2.58797649851115e-05
"16263",19873,28799,0.04,44.0340996,5494,1.40928535542061,0.148337366938826,-0.862390659706064,2.58797649851115e-05
"16264",19875,28801,0.0502208,56.0802994,5417,1.25799305302978,0.714536310027808,-0.814967625424075,2.65836094353099e-05
"16265",19876,28802,0.0639241,55.3986015,5160,0.753030433361718,0.682494949524558,-0.751386294640145,2.75574017147808e-05
"16266",19877,28803,0.0793038,22.7376003,4993,0.424902972332273,-0.852646810258305,-0.680026710229266,2.86928703182933e-05
"16267",19878,28804,0.0998101,55.3082008,4929,0.299153526189253,0.678245909856919,-0.58488044301958,3.02799396036397e-05
"16268",19879,28805,0.123734,49.4267006,5003,0.44455132329212,0.401801948084208,-0.473877005924745,3.22427974865671e-05
"16269",19880,28806,0.149367,50.7247009,4807,0.05944364447912,0.462810931015837,-0.35494359193071,3.44872940057096e-05
"16270",19881,28807,0.176709,53.9258995,4539,-0.467132161244778,0.613274587109099,-0.228080665023016,3.7053915116631e-05
"16271",19882,28808,0.205759,29.7320995,4331,-0.875817861209595,-0.523889349795402,-0.0932928650570845,3.99904714347601e-05
"16272",19883,28809,0.23481,59.7997017,4458,-0.626283804019539,0.889356725274675,0.0414995747642676,4.31598658103423e-05
"16273",19884,28810,0.263861,24.8395004,4677,-0.19598491799889,-0.753852698018972,0.17629201458562,4.65804465397629e-05
"16274",19885,28811,0.29462,49.020401,5094,0.623351317026728,0.38270493758157,0.31900932746521,5.04980546649284e-05
"16275",19886,28812,0.32538,48.5797997,4979,0.397395280988488,0.361995668722886,0.46173128020022,5.47452935562836e-05
"16276",19887,28813,0.35443,45.0111008,5186,0.80411614585732,0.1942586579701,0.596519080166152,5.90839076318683e-05
"16277",19888,28814,0.38519,40.5215988,5302,1.03203701699154,-0.0167582045757027,0.739241032901162,6.40532766899915e-05
"16278",19889,28815,0.414241,46,5441,1.30514909533342,0.240739182214894,0.874033472722515,6.91297383468654e-05
"16279",19893,28819,0.516571,35.9583015,5359,1.14403261746267,-0.231243615008693,1.34882987790371,9.0435763830676e-05
"16280",19894,28820,0.537278,46.8828011,5257,0.943619437672233,0.282232853088408,1.4449073640963,9.54882767018378e-05
"16281",19895,28821,0.554448,23.3451996,5280,0.988810644879881,-0.824088253435961,1.52457368166652,9.98911608259869e-05
"16282",19896,28822,0.569779,51.8265991,5401,1.22655569149403,0.514602666715891,1.59570730511842,0.000103993755317295
