FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
170,2840,47.6455994,4866,0.258117869,0.022128287,0.00011916,322262.5272,3131250.081
171,2841,49.1515999,4335,0.330722843,-0.691623848,0.00019045,323262.5272,3131250.081
172,2842,45.7308998,4019,0.165809325,-1.116380298,0.000191406,324262.5272,3131250.081
173,2843,36.6833,3924,-0.270379605,-1.244076066,0.000184183,325262.5272,3131250.081
174,2844,43.4569016,3951,0.05617883,-1.207783584,0.000186558,326262.5272,3131250.081
175,2845,44.5525017,3836,0.108998213,-1.362362672,0.000174828,327262.5272,3131250.081
176,2846,55.9292984,4013,0.657478791,-1.124445294,0.000191046,328262.5272,3131250.081
177,2847,58.7869987,4087,0.795249831,-1.024977011,0.00019453,329262.5272,3131250.081
178,2848,50.0625992,4575,0.374642536,-0.369024013,0.000165497,330262.5272,3131250.081
179,2849,61.2276001,4030,0.912912342,-1.101594472,0.000192032,331262.5272,3131250.081
180,2850,61.4870987,3320,0.925422888,-2.055952318,9.36E-05,332262.5272,3131250.081
181,2851,61.5587997,3228,0.928879626,-2.179615588,7.91E-05,333262.5272,3131250.081
182,3028,59.4884987,3077,0.829069467,-2.382584651,5.77E-05,289262.5272,3132250.081
183,3029,60.0922012,3302,0.858174241,-2.080147305,9.07E-05,290262.5272,3132250.081
184,3037,76.0317001,3036,1.626624781,-2.437695456,5.26E-05,298262.5272,3132250.081
185,3038,68.618103,3164,1.269211871,-2.265642211,6.96E-05,299262.5272,3132250.081
186,3039,68.9434967,3475,1.28489925,-1.847606591,0.000119583,300262.5272,3132250.081
187,3040,73.1110992,3464,1.485821275,-1.862392417,0.000117712,301262.5272,3132250.081
188,3041,70.685997,3031,1.368905987,-2.444416286,5.20E-05,302262.5272,3132250.081
189,3042,68.8981018,3078,1.282710741,-2.381240485,5.79E-05,303262.5272,3132250.081
190,3043,68.026001,3296,1.240666362,-2.088212301,8.97E-05,304262.5272,3132250.081
191,3044,68.9182968,3861,1.283684351,-1.328758522,0.000177722,305262.5272,3132250.081
192,3045,77.1001968,4319,1.678137496,-0.713130504,0.000191437,306262.5272,3132250.081
193,3046,74.6311035,5110,1.559101378,0.350104787,7.92E-05,307262.5272,3132250.081
194,3047,46.0057983,4719,0.179062307,-0.175464112,0.00014375,308262.5272,3132250.081
195,3048,40.6018982,4306,-0.081462191,-0.730604661,0.000192168,309262.5272,3132250.081
196,3049,46.5642014,3854,0.205983176,-1.338167684,0.00017693,310262.5272,3132250.081
197,3050,52.8039017,3755,0.506801985,-1.471240116,0.000164319,311262.5272,3132250.081
198,3051,57.007,3709,0.709435278,-1.533071751,0.000157688,312262.5272,3132250.081
199,3052,54.5195999,3800,0.589516581,-1.410752647,0.000170359,313262.5272,3132250.081
200,3053,45.7080002,4378,0.164705324,-0.633824711,0.000187335,314262.5272,3132250.081
201,3054,43.5662994,4736,0.061452948,-0.15261329,0.000140984,315262.5272,3132250.081
202,3055,60.2472992,5235,0.865651586,0.518125534,6.12E-05,316262.5272,3132250.081
203,3056,61.2190018,5836,0.912497814,1.325969288,1.14E-05,317262.5272,3132250.081
204,3057,48.3396988,5502,0.291580719,0.877017851,3.18E-05,318262.5272,3132250.081
205,3058,42.2405014,5122,-0.002464381,0.366234778,7.73E-05,319262.5272,3132250.081
206,3059,41.1747017,4651,-0.053847072,-0.266867398,0.000154454,320262.5272,3132250.081
207,3060,39.9989014,4674,-0.110532943,-0.235951581,0.000150907,321262.5272,3132250.081
208,3061,43.4678993,4457,0.056709034,-0.527635598,0.000179961,322262.5272,3132250.081
209,3062,48.6040001,4243,0.304322806,-0.815287118,0.000194795,323262.5272,3132250.081
