FID,D,x,y
618,9.47E-05,319262.5272,3140250.081
619,0.000148551,320262.5272,3140250.081
620,0.000124765,321262.5272,3140250.081
621,2.67E-05,322262.5272,3140250.081
622,2.56E-05,323262.5272,3140250.081
623,8.10E-06,324262.5272,3140250.081
624,6.41E-05,325262.5272,3140250.081
625,0.000108306,326262.5272,3140250.081
626,0.000186931,327262.5272,3140250.081
627,0.00017693,328262.5272,3140250.081
628,0.000142531,329262.5272,3140250.081
629,0.000159604,330262.5272,3140250.081
630,0.000174228,331262.5272,3140250.081
631,0.000179156,332262.5272,3140250.081
632,0.000182168,333262.5272,3140250.081
633,0.000103179,334262.5272,3140250.081
634,4.46E-05,335262.5272,3140250.081
635,2.63E-05,336262.5272,3140250.081
636,7.86E-05,340262.5272,3140250.081
637,5.81E-05,341262.5272,3140250.081
638,0.00012383,342262.5272,3140250.081
639,9.25E-06,273262.5272,3141250.081
640,5.76E-05,274262.5272,3141250.081
641,0.000182515,275262.5272,3141250.081
642,0.000191866,276262.5272,3141250.081
643,0.000194219,277262.5272,3141250.081
644,0.000194309,278262.5272,3141250.081
645,0.000125274,279262.5272,3141250.081
646,3.70E-05,280262.5272,3141250.081
647,0.000107294,281262.5272,3141250.081
648,0.000153537,282262.5272,3141250.081
649,0.000152459,283262.5272,3141250.081
650,0.000151685,284262.5272,3141250.081
651,0.000169908,285262.5272,3141250.081
652,0.000170554,286262.5272,3141250.081
653,0.000195865,287262.5272,3141250.081
654,0.000181869,288262.5272,3141250.081
655,0.000176701,289262.5272,3141250.081
656,7.76E-05,290262.5272,3141250.081
657,0.000132609,297262.5272,3141250.081
658,7.73E-05,298262.5272,3141250.081
659,7.89E-05,299262.5272,3141250.081
660,0.000146402,300262.5272,3141250.081
661,0.00018085,301262.5272,3141250.081
662,0.000183195,302262.5272,3141250.081
663,6.64E-05,303262.5272,3141250.081
664,0.000110502,304262.5272,3141250.081
665,0.00012137,305262.5272,3141250.081
666,0.000104773,306262.5272,3141250.081
667,4.19E-05,307262.5272,3141250.081
668,6.77E-06,308262.5272,3141250.081
669,1.63E-05,310262.5272,3141250.081
670,0.000136366,311262.5272,3141250.081
671,0.000195018,312262.5272,3141250.081
672,0.000173317,313262.5272,3141250.081
673,5.73E-05,314262.5272,3141250.081
674,6.62E-06,318262.5272,3141250.081
675,3.50E-05,319262.5272,3141250.081
676,5.35E-05,320262.5272,3141250.081
677,4.94E-05,321262.5272,3141250.081
678,2.11E-05,324262.5272,3141250.081
679,3.54E-05,325262.5272,3141250.081
680,7.43E-05,326262.5272,3141250.081
681,0.00011644,327262.5272,3141250.081
682,0.000188646,328262.5272,3141250.081
683,0.000183145,329262.5272,3141250.081
684,9.64E-05,330262.5272,3141250.081
